PersonnelID,Age,YearsOfService,Rank,Specialization,PerformanceRating,TrainingCoursesCompleted,MissionSuccessRate,MedicalFitnessScore,PeerReviewScore,CommandersAssessment,AttritionRisk,LeadershipPotential
IAF3170,43,21,Wing Commander,Medical,3,13,86.3,89,3.6,3.3,Medium,Medium
IAF3171,33,11,Squadron Leader,Pilot,2,8,82.4,95,3.1,3,High,Low
IAF3172,38,16,Wing Commander,Engineer,5,11,99.1,96,4.9,4.9,Low,High
IAF3173,23,1,Flying Officer,Admin,4,1,90.4,99,4,4.1,Medium,High
IAF3174,41,19,Group Captain,Ground Staff,3,14,87.9,88,3.8,3.5,Medium,Medium
IAF3175,32,10,Squadron Leader,Medical,2,7,78.3,92,2.9,2.8,High,Low
IAF3176,39,17,Wing Commander,Pilot,5,12,98.7,94,4.8,4.8,Low,High
IAF3177,30,8,Flight Lieutenant,Engineer,4,6,94.4,97,4.3,4.4,Low,High
IAF3178,45,23,Group Captain,Admin,3,15,89.2,86,3.7,3.6,Medium,Medium
IAF3179,26,4,Flying Officer,Ground Staff,2,2,81.7,98,3,2.9,High,Low
IAF3180,37,15,Wing Commander,Medical,5,11,97.5,90,4.6,4.7,Low,High
IAF3181,29,7,Flight Lieutenant,Pilot,4,5,93.8,96,4.2,4.3,Low,High
IAF3182,35,13,Squadron Leader,Engineer,3,8,88.1,95,3.6,3.4,Medium,Medium
IAF3183,42,20,Wing Commander,Admin,5,14,99.4,92,4.9,5,Low,High
IAF3184,27,5,Flying Officer,Ground Staff,2,3,82.8,99,3.1,3,High,Low
IAF3185,34,12,Squadron Leader,Medical,4,9,95.6,91,4.4,4.6,Low,High
IAF3186,40,18,Wing Commander,Pilot,5,12,98.2,93,4.8,4.9,Low,High
IAF3187,31,9,Flight Lieutenant,Engineer,4,7,92.9,97,4.1,4.2,Low,High
IAF3188,46,24,Group Captain,Admin,2,16,85,87,3.2,3.1,High,Low
IAF3189,25,3,Flying Officer,Ground Staff,3,2,90.5,100,3.9,3.7,Medium,Medium
IAF3190,36,14,Squadron Leader,Medical,5,9,96.9,94,4.7,4.8,Low,High
IAF3191,28,6,Flight Lieutenant,Pilot,5,6,97.9,98,4.6,4.7,Low,High
IAF3192,43,21,Wing Commander,Engineer,3,13,87.3,89,3.6,3.4,Medium,Medium
IAF3193,33,11,Squadron Leader,Admin,2,8,83.8,95,3.1,3,High,Low
IAF3194,38,16,Wing Commander,Ground Staff,5,11,99.5,96,4.9,5,Low,High
IAF3195,23,1,Flying Officer,Medical,4,1,91.8,99,4.1,4.2,Low,High
IAF3196,41,19,Group Captain,Pilot,3,14,88.7,88,3.8,3.5,Medium,Medium
IAF3197,32,10,Squadron Leader,Engineer,2,7,79.1,92,2.8,2.7,High,Low
IAF3198,39,17,Wing Commander,Admin,5,12,98.5,94,4.8,4.9,Low,High
IAF3199,30,8,Flight Lieutenant,Ground Staff,4,6,94.9,97,4.4,4.5,Low,High
IAF3200,45,23,Group Captain,Medical,3,15,89.6,86,3.7,3.6,Medium,Medium
IAF3201,36,14,Squadron Leader,Pilot,5,9,98.2,95,4.6,4.8,Low,High
IAF3202,27,5,Flight Lieutenant,Engineer,4,5,92.5,98,4.1,4.3,Low,High
IAF3203,43,21,Wing Commander,Admin,2,12,82.8,87,3,2.8,High,Low
IAF3204,24,2,Flying Officer,Ground Staff,3,2,86.7,100,3.5,3.3,Medium,Medium
IAF3205,34,12,Squadron Leader,Medical,5,8,97,91,4.5,4.7,Low,High
IAF3206,39,17,Wing Commander,Pilot,4,11,94.8,90,4.4,4.5,Low,High
IAF3207,30,8,Flight Lieutenant,Engineer,2,5,80.2,95,2.8,2.6,High,Low
IAF3208,46,24,Group Captain,Admin,5,16,99.4,86,4.9,5,Low,High
IAF3209,23,1,Flying Officer,Ground Staff,3,1,88.5,99,3.4,3.2,Medium,Medium
IAF3210,32,10,Squadron Leader,Medical,4,6,95.9,92,4.3,4.6,Low,High
IAF3211,37,15,Wing Commander,Pilot,5,10,98.6,94,4.7,4.9,Medium,High
IAF3212,28,6,Flight Lieutenant,Engineer,4,5,93.1,97,4.2,4.4,Low,High
IAF3213,44,22,Wing Commander,Admin,2,13,81.9,85,2.9,2.7,High,Low
IAF3214,25,3,Flying Officer,Ground Staff,3,2,87.4,98,3.6,3.4,Medium,Medium
IAF3215,35,13,Squadron Leader,Medical,5,9,97.6,93,4.6,4.8,Low,High
IAF3216,40,18,Wing Commander,Pilot,4,12,94.3,91,4.4,4.5,Low,High
IAF3217,29,7,Flight Lieutenant,Engineer,2,4,80.8,96,2.7,2.5,High,Low
IAF3218,47,25,Group Captain,Admin,3,17,90,84,3.9,3.6,Medium,low
IAF3219,26,4,Flying Officer,Ground Staff,4,3,91.2,99,4,4.2,Low,High
IAF3220,33,11,Squadron Leader,Medical,5,7,96.4,92,4.5,4.7,Low,High
IAF3221,38,16,Wing Commander,Pilot,2,9,83.7,89,3.1,3,High,Low
IAF3222,31,9,Flight Lieutenant,Engineer,5,6,98.7,98,4.8,4.9,Low,High
IAF3223,41,19,Wing Commander,Admin,4,14,93.6,88,4.3,4.4,Low,High
IAF3224,27,5,Flying Officer,Ground Staff,3,2,87.8,100,3.6,3.4,Medium,Medium
IAF3225,36,14,Squadron Leader,Medical,2,8,79.4,90,2.9,2.8,High,Low
IAF3226,39,17,Wing Commander,Pilot,5,11,99.1,93,4.9,5,Low,High
IAF3227,30,8,Flight Lieutenant,Engineer,4,5,92,97,4.1,4.2,Low,High
IAF3228,45,23,Group Captain,Admin,3,15,88.9,86,3.8,3.5,Medium,Medium
IAF3229,24,2,Flying Officer,Ground Staff,2,1,80.6,99,3,2.9,High,Low
IAF3230,34,12,Squadron Leader,Medical,5,8,98,91,4.7,4.8,Low,High
IAF3231,37,15,Wing Commander,Pilot,4,10,95.8,92,4.4,4.6,Low,High
IAF3232,28,6,Flight Lieutenant,Engineer,3,4,89.1,96,3.7,3.5,Medium,Medium
IAF3233,42,20,Wing Commander,Admin,5,13,99.7,89,4.8,4.9,Low,High
IAF3234,25,3,Flying Officer,Ground Staff,2,2,81.6,98,3.2,3,High,Low
IAF3235,35,13,Squadron Leader,Medical,4,7,94.5,94,4.3,4.5,Low,High
IAF3236,40,18,Wing Commander,Pilot,5,12,98.8,90,4.7,4.8,Low,High
IAF3237,29,7,Flight Lieutenant,Engineer,4,6,93.4,97,4.2,4.3,Low,High
IAF3238,46,24,Group Captain,Admin,2,16,84.9,85,3.1,2.9,High,Low
IAF3239,26,4,Flying Officer,Ground Staff,3,3,90.2,99,3.8,3.6,Medium,Medium
IAF3240,33,11,Squadron Leader,Medical,5,8,97.1,92,4.6,4.7,Low,High
IAF3241,38,16,Wing Commander,Pilot,5,10,98.3,95,4.7,4.9,Low,High
IAF3242,28,6,Flight Lieutenant,Engineer,4,5,92.6,97,4.2,4.4,Low,High
IAF3243,44,22,Wing Commander,Admin,2,13,82.2,86,2.9,2.7,High,Low
IAF3244,25,3,Flying Officer,Ground Staff,3,2,87,98,3.5,3.3,Medium,Medium
IAF3245,35,13,Squadron Leader,Medical,5,9,97.4,93,4.6,4.8,Low,High
IAF3246,40,18,Wing Commander,Pilot,4,12,94.6,91,4.4,4.5,Low,High
IAF3247,29,7,Flight Lieutenant,Engineer,2,4,81,96,2.7,2.5,High,Low
IAF3248,47,25,Group Captain,Admin,3,17,89.8,85,3.9,3.6,Medium,Medium
IAF3249,26,4,Flying Officer,Ground Staff,4,3,91,99,4,4.2,Low,High
IAF3250,33,11,Squadron Leader,Medical,5,7,96.2,92,4.5,4.7,Low,High
IAF3251,41,19,Wing Commander,Pilot,5,13,99.3,91,4.8,4.9,Low,High
IAF3252,24,2,Flying Officer,Engineer,3,2,86.4,99,3.6,3.3,Medium,Medium
IAF3253,32,10,Flight Lieutenant,Admin,2,6,77.7,92,2.8,2.7,High,Low
IAF3254,39,17,Wing Commander,Ground Staff,4,11,94.7,94,4.4,4.5,Low,High
IAF3255,30,8,Squadron Leader,Medical,5,7,98,96,4.7,4.8,Low,High
IAF3256,44,22,Group Captain,Pilot,3,15,88.2,88,3.7,3.6,Medium,Medium
IAF3257,26,4,Flying Officer,admin,4,3,92.3,98,4.1,4.2,Low,High
IAF3258,37,15,Wing Commander,Admin,2,10,83.1,90,3,2.9,High,Low
IAF3259,29,7,Flight Lieutenant,Ground Staff,5,6,97.2,97,4.6,4.7,Low,High
IAF3260,35,13,Squadron Leader,Medical,3,8,89.8,95,3.8,3.5,Medium,Medium
IAF3261,42,20,Wing Commander,Pilot,4,14,95.9,93,4.5,4.6,Low,High
IAF3262,27,5,Flying Officer,Engineer,2,3,80.9,99,2.9,2.8,High,Low
IAF3263,34,12,Squadron Leader,Admin,5,9,98.8,91,4.8,4.9,Low,low
IAF3264,40,18,Wing Commander,Ground Staff,4,12,93.4,92,4.3,4.4,Low,High
IAF3265,31,9,Flight Lieutenant,Medical,3,7,88.6,96,3.7,3.4,Medium,Medium
IAF3266,46,24,Group Captain,Pilot,5,16,99.8,87,5,5,Low,High
IAF3267,25,3,Flying Officer,Engineer,2,2,79.5,100,2.8,2.6,High,Low
IAF3268,36,14,Squadron Leader,Admin,4,9,95.1,94,4.4,4.5,Low,High
IAF3269,28,6,Flight Lieutenant,Ground Staff,5,5,96.5,98,4.5,4.7,Low,High
IAF3270,43,21,Wing Commander,Medical,3,13,86.3,89,3.6,3.3,Medium,Medium
IAF3271,33,11,Squadron Leader,Pilot,2,8,82.4,95,3.1,3,High,Low
IAF3272,38,16,Wing Commander,Engineer,5,11,99.1,96,4.9,4.9,Low,High
IAF3273,23,1,Flying Officer,Admin,4,1,90.4,99,4,4.1,Medium,High
IAF3274,41,19,Group Captain,Ground Staff,3,14,87.9,88,3.8,3.5,Medium,Medium
IAF3275,32,10,Squadron Leader,Medical,2,7,78.3,92,2.9,2.8,High,Low
IAF3276,39,17,Wing Commander,Pilot,5,12,98.7,94,4.8,4.8,Low,High
IAF3277,30,8,Flight Lieutenant,Engineer,4,6,94.4,97,4.3,4.4,Low,High
IAF3278,45,23,Group Captain,Admin,3,15,89.2,86,3.7,3.6,Medium,Medium
IAF3279,26,4,Flying Officer,Ground Staff,2,2,81.7,98,3,2.9,High,Low
IAF3280,37,15,Wing Commander,Medical,5,11,97.5,90,4.6,4.7,Low,High
IAF3281,29,7,Flight Lieutenant,Pilot,4,5,93.8,96,4.2,4.3,Low,High
IAF3282,35,13,Squadron Leader,Engineer,3,8,88.1,95,3.6,3.4,Medium,Medium
IAF3283,42,20,Wing Commander,Admin,5,14,99.4,92,4.9,5,Low,High
IAF3284,27,5,Flying Officer,Ground Staff,2,3,82.8,99,3.1,3,High,Low
IAF3285,34,12,Squadron Leader,Medical,4,9,95.6,91,4.4,4.6,Low,High
IAF3286,40,18,Wing Commander,Pilot,5,12,98.2,93,4.8,4.9,Low,High
IAF3287,31,9,Flight Lieutenant,Engineer,4,7,92.9,97,4.1,4.2,Low,High
IAF3288,46,24,Group Captain,Admin,2,16,85,87,3.2,3.1,High,Low
IAF3289,25,3,Flying Officer,Ground Staff,3,2,90.5,100,3.9,3.7,Medium,Medium
IAF3290,36,14,Squadron Leader,Medical,5,9,96.9,94,4.7,4.8,Low,High
IAF3291,28,6,Flight Lieutenant,Pilot,5,6,97.9,98,4.6,4.7,Low,High
IAF3292,43,21,Wing Commander,Engineer,3,13,87.3,89,3.6,3.4,Medium,Medium
IAF3293,33,11,Squadron Leader,Admin,2,8,83.8,95,3.1,3,High,Low
IAF3294,38,16,Wing Commander,Ground Staff,5,11,99.5,96,4.9,5,Low,High
IAF3295,23,1,Flying Officer,Medical,4,1,91.8,99,4.1,4.2,Low,High
IAF3296,41,19,Group Captain,Pilot,3,14,88.7,88,3.8,3.5,Medium,Medium
IAF3297,32,10,Squadron Leader,Engineer,2,7,79.1,92,2.8,2.7,High,Low
IAF3298,39,17,Wing Commander,Admin,5,12,98.5,94,4.8,4.9,Low,High
IAF3299,30,8,Flight Lieutenant,Ground Staff,4,6,94.9,97,4.4,4.5,Low,High
IAF3300,45,23,Group Captain,Medical,3,15,89.6,86,3.7,3.6,Medium,Medium
IAF3301,35,13,Squadron Leader,Pilot,5,8,98.5,95,4.5,4.8,Low,low
IAF3302,28,6,Flight Lieutenant,Engineer,4,5,92.1,98,4.1,4.2,Low,High
IAF3303,42,20,Wing Commander,Admin,5,12,99.2,92,4.8,4.9,Medium,High
IAF3304,25,3,Flying Officer,Ground Staff,3,2,85.3,99,3.5,3.1,Medium,Medium
IAF3305,33,11,Squadron Leader,Medical,2,4,75.4,85,2.9,2.5,High,Low
IAF3306,38,16,Wing Commander,Pilot,5,10,97.8,96,4.7,4.8,Low,High
IAF3307,29,7,Flight Lieutenant,Engineer,4,6,93.5,97,4.3,4.4,Low,High
IAF3308,45,23,Group Captain,Admin,3,15,88.9,89,3.8,3.5,Medium,Medium
IAF3309,26,4,Flying Officer,Ground Staff,2,1,78.2,94,3.1,2.8,High,Low
IAF3310,31,9,Squadron Leader,Medical,4,7,94.6,93,4.2,4.5,Low,High
IAF3311,36,14,Squadron Leader,Pilot,5,9,98.9,94,4.6,4.9,Low,High
IAF3312,27,5,Flight Lieutenant,Engineer,3,4,89.3,98,3.7,3.4,Medium,Medium
IAF3313,43,21,Wing Commander,Admin,2,11,82.1,88,3,2.9,High,Low
IAF3314,24,2,Flying Officer,Ground Staff,4,3,91.5,100,4,4.1,Low,High
IAF3315,34,12,Squadron Leader,Medical,5,8,96.7,91,4.5,4.7,Low,High
IAF3316,39,17,Wing Commander,Pilot,3,11,87.6,90,3.6,3.3,Medium,Medium
IAF3317,30,8,Flight Lieutenant,Engineer,2,5,79.8,95,2.8,2.6,High,Low
IAF3318,46,24,Group Captain,Ground Staff,5,16,99.5,87,4.9,5,Low,High
IAF3319,23,1,Flying Officer,Ground Staff,3,1,88,99,3.4,3.2,Medium,Medium
IAF3320,32,10,Squadron Leader,Medical,4,6,95.2,92,4.3,4.6,Low,High
IAF3321,37,15,Wing Commander,Pilot,5,10,98.1,95,4.7,4.9,Low,High
IAF3322,28,6,Flight Lieutenant,Engineer,4,5,92.8,97,4.2,4.3,Low,High
IAF3323,44,22,Wing Commander,Admin,2,13,81.4,86,2.9,2.7,High,Low
IAF3324,25,3,Flying Officer,Ground Staff,3,2,86.1,98,3.5,3.3,Medium,Medium
IAF3325,35,13,Squadron Leader,Medical,5,9,97.3,93,4.6,4.8,Low,High
IAF3326,40,18,Wing Commander,Pilot,4,12,94,91,4.4,4.5,Low,High
IAF3327,29,7,Flight Lieutenant,Engineer,2,4,80.5,96,2.7,2.5,High,Low
IAF3328,47,25,Group Captain,Admin,3,17,89.5,85,3.9,3.6,Medium,Medium
IAF3329,26,4,Flying Officer,Ground Staff,4,3,90.8,99,4,4.2,Low,High
IAF3330,33,11,Squadron Leader,Medical,5,7,96.1,92,4.5,4.7,Low,High
IAF3331,38,16,Wing Commander,Pilot,2,9,83.2,89,3.1,3,High,Low
IAF3332,31,9,Flight Lieutenant,Engineer,5,6,98.3,98,4.8,4.9,Low,High
IAF3333,41,19,Wing Commander,Admin,4,14,93.3,88,4.3,4.4,Low,High
IAF3334,27,5,Flying Officer,Ground Staff,3,2,87.2,100,3.6,3.4,Medium,Medium
IAF3335,36,14,Squadron Leader,Medical,2,8,78.9,90,2.9,2.8,High,high
IAF3336,39,17,Wing Commander,Pilot,5,11,99,93,4.9,5,Low,High
IAF3337,30,8,Flight Lieutenant,Engineer,4,5,91.7,97,4.1,4.2,Low,High
IAF3338,45,23,Group Captain,Admin,3,15,88.4,86,3.8,3.5,Medium,Medium
IAF3339,24,2,Flying Officer,Ground Staff,2,1,80.1,99,3,2.9,High,Low
IAF3340,34,12,Squadron Leader,Medical,5,8,97.9,91,4.7,4.8,Low,High
